MaNGA ID	Plate	IFU	RA (deg)	DEC (deg)	log10(M*/M⊙)	(B/T)r	log10 SFR (M⊙/yr)	z
1-603793	8079	3704	42.811312	−0.329252	11.1±0.1	0.11	1.2±0.1	0.067
1-604085	8085	6101	52.619896	0.811497	10.5±0.09	0.1	0.034±0.3	0.031
1-338796	8137	9101	116.16926	44.144409	10.7±0.09	0.16	0.32±0.3	0.038
1-338771	8141	12705	116.73264	44.265699	10.6±0.09	0.2	0.39±0.3	0.031
1-152596	8146	6104	116.83569	29.412934	11.0±0.1	0.19	0.13±0.6	0.063
1-460912	8241	12705	126.56891	17.362452	11.0±0.09	0.1	1.2±0.2	0.066
1-47120	8244	12703	130.45491	50.786425	11.1±0.09	0.18	0.88±0.3	0.054
1-47890	8244	3703	133.78758	52.470442	11.1±0.09	0.14	−0.31±0.6	0.058
1-277552	8257	3701	167.03456	45.984624	10.7±0.09	0.14	−0.11±0.5	0.036
1-282762	8263	6103	187.28568	46.881492	10.8±0.10	0.08	0.17±0.4	0.04
1-322787	8315	3702	235.92049	39.540357	10.6±0.1	0.24	0.85±0.2	0.063
1-422040	8444	6103	201.41111	33.680433	11.0±0.09	0.19	0.88±0.5	0.039
1-134239	8549	12702	241.41644	46.846561	10.8±0.10	0.23	−0.66±0.7	0.057
1-351566	8567	6101	118.10651	47.777979	10.5±0.10	0.16	−0.01±0.3	0.031
1-274323	8568	9102	155.37679	38.308947	10.9±0.10	0.04	0.074±0.3	0.055
1-197702	8595	12701	219.04276	50.518822	11.0±0.10	0.19	−0.20±0.7	0.069
1-135545	8601	12703	247.53037	40.880157	10.4±0.09	0.14	0.12±0.4	0.03
1-136125	8613	9102	254.04414	34.83652	10.5±0.09	0.18	−0.24±0.5	0.032
1-177061	8614	6102	256.75708	34.389276	10.8±0.08	0.06	0.88±0.2	0.071
1-180039	8615	9101	321.47404	0.416059	10.5±0.09	0.09	0.34±0.3	0.032
1-403703	8934	9102	196.16279	28.628904	10.6±0.09	0.19	0.49±0.3	0.057
1-174618	8947	9101	172.88669	49.857504	11.1±0.09	0.12	0.069±0.6	0.069
1-135626	8978	12703	248.51518	41.240258	10.8±0.09	0.15	−0.75±0.7	0.061
1-248420	8979	6102	241.82339	41.403604	10.8±0.09	0.1	0.024±0.4	0.035
1-248405	8979	9102	241.27859	42.037358	11.0±0.09	0.16	0.084±0.6	0.077
1-416039	8985	6104	205.8734	31.003218	11.0±0.10	0.23	0.32±0.5	0.065
1-296824	9028	12704	243.02559	28.498866	10.9±0.09	0.15	0.86±0.2	0.053
1-134620	9031	6104	242.81922	45.121318	10.6±0.10	0.22	−0.78±0.6	0.055
1-296659	9040	1901	243.41436	27.592856	10.8±0.10	0.05	0.21±0.4	0.066
1-296537	9040	12702	245.47816	26.600483	10.9±0.09	0.14	−0.09±0.5	0.064
1-318334	9095	12701	243.08489	23.00202	10.6±0.09	0.1	0.43±0.2	0.032
1-51296	9189	12704	50.416587	−6.635615	10.6±0.09	0.19	0.33±0.3	0.035
1-37601	9192	9102	46.285743	0.343443	10.8±0.09	0.2	0.65±0.3	0.044
1-24822	9196	12703	262.31772	54.205924	10.9±0.09	0.21	0.99±0.2	0.079
1-24814	9196	3701	262.65063	54.101229	10.8±0.10	0.07	−0.08±0.5	0.062
1-122002	9485	9101	120.77803	37.023557	10.7±0.09	0.24	1.2±0.09	0.071
1-72207	9486	12701	121.1296	40.206045	10.8±0.09	0.1	0.83±0.3	0.04
1-44618	9487	12705	122.52287	46.193025	10.7±0.09	0.16	0.12±0.3	0.032
1-382809	9491	6104	119.53574	19.550146	10.6±0.09	0.13	0.80±0.2	0.062
1-298298	9496	6102	120.53836	21.252763	10.6±0.08	0.17	−0.91±0.6	0.03
1-145679	9499	6104	118.42323	26.492699	10.8±0.09	0.13	0.00±0.5	0.037
1-605531	9506	3703	133.5699	27.266526	10.9±0.08	0.19	1.2±0.2	0.064
1-41746	9514	12701	31.682736	13.371629	10.7±0.10	0.25	0.24±0.4	0.061
1-271967	9866	6104	242.35067	33.000246	10.9±0.10	0.17	0.26±0.4	0.053
1-321271	9868	12702	218.87457	46.202391	10.9±0.09	0.17	0.69±0.3	0.073
1-294374	9894	12705	250.90783	21.691287	10.6±0.09	0.13	0.52±0.2	0.035
1-122611	10213	3701	123.45312	41.649479	10.9±0.10	0.17	0.39±0.5	0.049
1-153613	10215	12703	122.39068	36.985267	10.4±0.09	0.13	−0.05±0.5	0.041
1-153693	10215	6104	122.98448	36.424268	10.7±0.10	0.07	0.27±0.4	0.074
1-297871	10216	12702	116.7302	18.482376	10.8±0.09	0.09	0.26±0.3	0.044
1-297854	10216	12705	117.43277	18.918596	10.9±0.10	0.18	0.39±0.3	0.048
1-458727	10217	6102	119.29321	14.658764	10.8±0.09	0.21	0.72±0.3	0.048
1-412119	10218	6104	117.85779	16.601841	10.7±0.09	0.12	0.33±0.3	0.054
1-202008	10220	6104	121.71814	32.250329	10.7±0.10	0.18	0.27±0.2	0.04
1-153142	10220	3701	120.4896	33.164591	10.9±0.09	0.07	−0.24±0.7	0.038
1-201934	10220	6101	120.55032	32.315051	10.8±0.09	0.1	0.47±0.3	0.037
1-352102	10493	3704	122.85428	52.530381	10.8±0.09	0.21	0.66±0.3	0.071
1-352513	10494	12703	123.25528	54.521178	10.7±0.09	0.19	0.29±0.3	0.041
1-383135	10497	6101	119.99119	17.847843	11.0±0.09	0.12	0.85±0.3	0.062
1-385544	10498	6101	130.7174	25.642697	10.8±0.09	0.14	0.32±0.3	0.054
1-278191	10509	3701	167.5643	46.441525	10.7±0.09	0.13	0.78±0.1	0.036
1-78856	10517	3704	151.39912	4.27941	11.0±0.09	0.11	0.72±0.4	0.063