RAJ2000, deg	DEJ2000, deg	Name	r, arcsec	Ksmag, mag	2s, Dimensionless "separation" between isolated galaxy and its nearest significant neighbour	HRV, km/s	T, Morphological type in de Vaucouleurs' scale	N, Number of significant neighbours of the isolated galaxy detected during our additional inspection on DSS	Comm	Redshift	MorphologicalType
124.5315	26.6338611	MCG+05-20-007	24.9	11.31	68	6001	2	1	Bar,ring	0.02001718135	SAB
124.7615833	83.2663611	UGC04262	28.7	10.5	69	5696	3	2	Pec,IRAS	0.01899981086	SB
126.042	-18.7755	IC2367	72.8	8.8	105	2448	3		Bar,ring,IRAS	0.00816564905	SB
126.2926667	37.9889444	CGCG179-005	16.5	11.74	70	6362	3			0.02122134774	SB
126.6253333	-2.3787778	PGC1093790	16.5	11.65	63	9992	2			0.03332972439	SAB
126.7440417	65.2453611	MCG+11-11-003	19.7	11.21	69	14008	3		Pec	0.04672565846	SB
126.915625	-14.7819722	PGC23727	22.4	11.43	63	9293	3		Bar,ring	0.03099811137	SB
127.045625	10.5407222	CGCG060-016	22.6	11.39	67	9227	3	2		0.03077795906	SB
127.4997083	52.6971944	UGC04438	25.6	10.79	65	4252	2		Ring,pec,MRK90,IRAS	0.01418314533	SAB
128.4052083	13.0558056	CGCG060-023	19.9	11.35	102	9104	3	1		0.03036767523	SB
128.6014167	-31.8221389	ESO431-017	27.2	10.49	78	1964	2		Pec,Fairall1145,IRAS	0.00655119883	SAB
128.6389583	-2.5468056	NGC2615	44.1	9.56	66	4220	3		Bar,ring,IRAS	0.01407640482	SB
129.0633333	-17.5354444	PGC881636	19.3	11.63	144	10540	3	2		0.03515765563	SB
129.2735833	-18.2613056	ESO563-001	18.8	11.25	67	5938	2	1		0.01980703597	SAB
129.7825417	-8.8619444	MCG-01-22-031	23.3	11	72	5979	2			0.01994379725	SAB
130.1847917	-4.1217222	NGC2642	57.5	9.75	70	4335	3	1	Bar,ring,HII,IRAS	0.01446000353	SB
130.2241667	19.3548333	UGC04526	30.5	11.02	62	4378	3			0.01460343609	SB
130.471	32.8681944	UGC04531	29.1	11.21	61	7728	3		Bar,KIG278	0.02577783328	SB
130.781625	18.2232222	UGC04548	22.6	11.39	65	6276	3	1	IRAS	0.02093448261	SB
130.8529167	8.0795556	CGCG032-053	19.6	11.51	63	8904	3			0.02970054704	SB
130.8602917	-53.6959444	PGC100041	22.9	11.21	94	7831	3			0.02612140429	SB
130.9858333	-12.8475	MCG-02-23-001	29.4	10.4	71	5715	3		Bar,ring	0.01906318804	SB
131.2737083	40.5596111	CGCG208-043	17.9	11.64	70	8706	3		IRAS	0.02904009013	SB
134.6368333	28.26725	UGC04698	32.1	10.23	90	8001	2		Vc	0.02668846326	SAB
134.951375	55.7064167	NGC2710	42.2	10.82	75	2526	3		Bar,ring,IRAS	0.008425829045	SB
135.0652083	40.29675	UGC04716	22.4	11.54	60	8674	3		Bar,IRAS	0.02893334962	SB
135.2435417	47.7953333	CGCG238-004	22.2	11.31	61	3143	3			0.01048391951	SB
135.3659583	-9.3228611	2MFGC7043	18.1	11.94	69	7226	3		HII	0.02410334152	SB
136.1733333	-23.2082778	PGC153428	16	11.88	61	12988	2	2	Pec	0.04332330468	SAB
137.1907917	-38.6078611	ESO314-005	43.1	9.75	102	4858	2		IRAS	0.01620454374	SAB
137.198	29.86475	NGC2766	32.6	10.57	96	4184	2		Bar,ring	0.01395632174	SAB
137.7060417	-8.8906944	UGCA150	110.1	7.7	153	1836	3		Bar,HII,IRAS	0.006124236788	SB
137.7137917	2.9770556	UGC04826	28.4	10.89	66	7872	2		KIG310	0.02625816557	SAB
138.002125	-26.8278611	ESO497-022	26.1	10.87	61	2423	3		HII,IRAS	0.008082258027	SB
138.0605417	44.9548889	NGC2776	44.8	9.36	112	2629	3		Bar,KIG314,IRAS	0.008769400063	SB
138.7317917	46.9033889	UGC04870	26.4	10.47	61	4252	2	2	Bar,IRAS	0.01418314533	SAB
139.1999583	-26.8162222	NGC2821	44.9	9.56	69	2436	3		IRAS	0.008125621359	SB
139.2084167	0.5725556	CGCG006-025	16.2	11.9	63	8532	3			0.0284596886	SB
139.886375	-10.4986944	MCG-02-24-010	22.1	11.2	80	11345	3	1	Bar,ring,MRK1231,IRAS	0.0378428466	SB
139.99175	37.1910278	IC2461	40.5	10.11	70	2260	3		IRAS	0.007538548551	SB
140.044	-7.3844167	PGC165529	15.2	11.22	62	7473	2	1	IRAS	0.02492724483	SAB
140.2113333	13.1911667	CGCG062-022	25.5	10.67	97	5062	3	1		0.0168850145	SB
140.5732917	4.7083056	UGC04980	19.4	11.54	78	8326	3		Bar	0.02777254657	SB
140.89925	53.6019444	CGCG265-011	19.7	10.92	62	7672	2			0.02559103738	SAB
141.8479583	30.4406389	IC2473	27.1	10.79	63	8072	3		Bar,ring,KIG336,IRAS	0.02692529376	SB
142.318375	-20.3792778	ESO565-011	32	10.16	101	4787	3		Bar,ring,IRAS	0.01596771324	SB
142.549	55.8523611	UGC05055	22.3	10.94	82	7539	3		Bar,KIG339,MRK114,IRAS,Vc	0.02514739714	SB
142.7862083	-70.8984722	PGC271427	17.2	11.73	65	5068	2			0.01690502834	SAB
142.7960417	52.6351944	CGCG265-023	16.6	11.72	74	7252	3		Bar,ring	0.02419006818	SB
143.6119167	-2.5041389	NGC2917	38	10.05	85	3675	3			0.0122584805	SB
143.6216667	-9.4508056	2MFGC7416	20.2	11.31	75	9094	2	2		0.03033431882	SAB
143.660875	5.8414167	UGC05100	33.6	11.12	98	5514	3		Bar,pec,IRAS	0.01839272421	SB
144.2185417	37.69475	NGC2922	30.5	11.12	77	4366	2		Bar,KIG355,IRAS,Vc	0.0145634084	SAB
144.3008333	36.6200833	UGC05120	16.4	11.66	72	11929	3			0.03979086092	SB
144.9333333	28.2085833	CGCG152-043	16	11.89	82	8946	3			0.02984064396	SB
144.9417083	-11.3456944	MCG-02-25-011	31.1	10.81	74	4422	3		Bar,ring,IRAS	0.01475020429	SB
145.3191667	35.8821111	NGC2955	33.5	10.17	61	7010	2		Ring,KIG361,IRAS	0.02338284307	SAB
145.7590417	37.8230833	UGC05184	27.4	10.84	81	6577	3		Bar,KIG366,IRAS	0.02193851054	SB
147.0881667	-34.2246389	ESO373-030	18.1	11.63	68	9463	3		Ring	0.03156517033	SB
147.2270417	24.8746944	CGCG122-093	15.1	11.93	98	12994	3		KIG372	0.04334331853	SB
147.5754583	-23.0253056	ESO499-009	33.7	10.03	121	2077	2		Bar,ring	0.006928126257	SAB
147.6897083	22.7545556	UGC05278	19.8	11.59	61	8583	3	1	Bar	0.02862980629	SB
147.7342917	62.1857778	UGC05268	21.7	11.23	109	7369	2		KIG374,Vc	0.02458033818	SAB
147.89125	-12.9958333	MCG-02-25-024	19.9	11.41	68	9907	3		HII,IRAS	0.03304619491	SB
147.9143333	-13.7116667	MCG-02-25-025	21.1	11.42	71	4000	3	1	Pec	0.01334256381	SB
147.9165	65.4910556	UGC05277	30.6	10.86	62	3365	3		Bar,ring,KIG376,IRAS	0.0112244318	SB
147.9377917	3.2723889	CGCG035-071	15.1	11.72	62	10352	2			0.03453055513	SAB
147.97925	-6.8229167	NGC3035	32	9.97	60	4350	3		Bar,ring,IRAS	0.01451003814	SB
148.3891667	-19.5830833	ESO566-024	31.5	10.22	81	3502	2	2	Bar,ring,HII,IRAS	0.01168141461	SAB
148.5888333	-22.7497778	ESO499-017	23	11.55	65	2553	2			0.00851589135	SAB
148.706875	9.2716389	NGC3049	44.2	10.4	71	1455	2		Bar,ring,HII,KIG383,MRK710,IRAS,Vc	0.004853357585	SAB
149.0229583	-4.5104167	PGC170069	15.8	11.61	61	10801	3		HII	0.03602825792	SB
149.023875	75.0143333	UGC05317	43.1	10.4	80	7984	2		Bar,IRAS	0.02663175736	SAB
149.4067917	-18.1787222	NGC3076	18	10.91	76	3619	2		Pec	0.01207168461	SAB
149.6510417	-68.311	ESO061-020	21	11.79	64	5167	2	1	IRAS09574-6804	0.0172352568	SAB
150.128	-2.1611944	UGC05380	22.8	10.94	61	6233	2		Bar,ring	0.02079105005	SAB
150.9335833	-80.4216111	NGC3149	35.8	9.58	113	2014	3		IRAS	0.006717980877	SB
151.5705417	3.8276944	MCG+01-26-015	19.1	11.04	95	6806	2	1		0.02270237232	SAB
152.0860417	31.8626944	NGC3126	62.5	9.3	90	5188	3		KIG400,IRAS,Vc	0.01730530526	SB
152.1515	18.23125	NGC3131	40.4	9.76	80	5098	3		Bar,IRAS	0.01700509757	SB
152.5089583	-24.3283889	ESO500-005	22.1	10.94	67	9566	3		Bar,ring	0.03190874135	SB
152.9720833	16.4401944	UGC05495	44.2	10.33	87	8250	3		IRAS	0.02751903785	SB
153.073375	27.862	UGC05499	34.3	10.51	63	4754	3		Bar,ring,IRAS10094+2806	0.01585763709	SB
153.829625	28.4600278	CGCG153-034	15.9	11.76	91	6294	2			0.02099452415	SAB
154.810125	-21.1404444	ESO567-047	18.1	11.68	74	9885	2		Bar,ring	0.03297281081	SAB
155.781625	-42.2375278	ESO317-020	21.2	10.1	68	2585	3		IRAS	0.008622631861	SB
155.9664583	31.6373611	CGCG154-007	19.8	11.81	92	8825	3		KIG411	0.0294370314	SB
155.992375	68.3826389	MCG+11-13-024	21	11.24	65	11466	2			0.03824645916	SAB
156.891625	34.0680278	PGC2043331	17.5	11.65	61	16850	3			0.05620555004	SB
157.1002917	59.7641389	CGCG290-042	15.6	11.65	78	9289	2			0.0309847688	SAB
157.8262917	-18.5429167	ESO568-013	24.5	10.93	77	9923	3	1	Bar,HII,IRAS	0.03309956517	SB
157.9884167	-63.7085	ESO092-022	28.1	10.65	68	3762	3		IRAS	0.01254868126	SB
158.9387917	-3.8658611	MCG-01-27-024	21.9	11.29	78	11122	3			0.03709899867	SB
159.0631667	-8.3339167	IC0624	38.6	9.59	71	5040	2		Bar	0.0168116304	SAB
159.2058333	-18.1063611	ESO568-019	27.8	10.8	89	6085	2		Bar,ring,HII,IRAS	0.02029737519	SAB
160.2442917	-21.7843056	ESO568-020	21.3	11.69	107	3668	3		IRAS	0.01223513101	SB
160.87975	24.9221944	NGC3344	93.5	7.7	136	580	3		Bar,ring,KIG435,IRAS	0.001934671752	SB
161.1592083	56.3697222	MCG+09-18-016	25.1	10.96	65	7195	2		IRAS	0.02399993665	SAB
161.2715417	-64.0638333	2MASX	33.8	11.3	90	7466	3			0.02490389535	SB
161.3432917	55.9603611	NGC3353	22.6	10.82	61	944	3		Pec,HII,MRK35,IRAS	0.003148845059	SB
161.8030417	-28.9211667	MCG-05-26-006	15.2	11.43	67	10242	3	1	Bar,HII,IRAS	0.03416363463	SB
162.1034167	34.71125	NGC3381	38.2	10.85	67	1629	3	1	Bar,pec,IRAS	0.005433759111	SB
162.6417083	-30.3671667	PGC3761453	17.7	11.81	79	11901	3	1		0.03969746297	SB
162.7435	-2.1503056	IC0651	21.3	10.3	63	4468	2		Bar,pec,KIG444,IRAS	0.01490364377	SAB
163.1042083	59.6855278	CGCG291-008	15.4	11.45	63	8356	3	1	KIG446,IRAS	0.02787261579	SB
163.7415	-73.8983611	2MASX	30.6	10.56	80	4061	3		Fairall1370	0.01354603791	SB
163.8056667	-26.1407222	NGC3463	31.2	10.15	104	3978	3		IRAS	0.01326917971	SB
163.958375	31.39225	CGCG155-038	23.3	11.05	64	10511	3		Vc	0.03506092205	SB
164.240375	-14.3005	NGC3469	35.9	9.89	66	4644	2		Bar,ring	0.01549071658	SAB
164.859	-7.5436111	NGC3481	27	10.72	73	2511	3	1	Bar,ring,IRAS	0.00837579443	SB
165.02025	-16.1061111	PGC33145	15.7	12	67	5568	3	2		0.01857284882	SB
165.1354167	2.1159167	UGC06087	26.6	11.45	67	11824	3		Bar,ring,Vc	0.03944061862	SB
165.15175	-8.9438333	PGC997240	16.7	11.34	70	8355	2	2		0.02786928015	SAB
165.1550417	11.4154722	MCG+02-28-040	21.1	10.76	103	8200	2		Vc	0.02735225581	SAB
165.3039167	32.1470556	FGC1182	23.3	11.43	76	13736	2	1		0.04581836412	SAB
165.4099167	-70.9530556	ESO063-003	44.5	9.42	100	3819	3	2	Ring	0.0127388128	SB
165.5074583	-40.60025	ESO318-031	21.9	10.89	94	4838	2		Bar,ring,pec	0.01613783093	SAB
165.5724167	-42.3723056	ESO318-032	25	10.57	80	5901	3			0.01968361726	SB
165.8554583	39.255	UGC06121	19.2	11.97	82	6457	3		KIG457	0.02153823363	SB
166.4320417	-10.6658056	PGC156264	15.9	11.82	61	8059	2			0.02688193043	SAB
166.5189583	43.33125	UGC06149	23.1	11.35	61	3207	2			0.01069740053	SAB
167.484875	79.0028333	CGCG351-056	15	11.92	79	11884	3	1	Pec,VIIZw373,IRAS	0.03964075707	SB
167.6450417	-49.1025833	ESO215-031	44.5	9.29	80	2722	3	1	Bar,ring,IRAS	0.009079614671	SB
167.699875	-28.5010833	ESO438-009	15.1	10.64	71	7199	2	2	Bar,ring,Sy1.5,IRAS	0.02401327921	SAB
168.6545417	-39.8611389	PGC593194	15.5	11.82	80	17432	3	1		0.05814689307	SB
169.4036667	-3.1708333	CGCG011-044	16.4	11.57	83	8811	2			0.02939033243	SAB
169.9322917	-35.1663056	PGC652464	17.7	11.92	63	9505	3	1		0.03170526725	SB
171.0114583	-28.3876389	PGC35009	17	11.42	78	4084	3		IRAS	0.01362275765	SB
171.3035	-26.7366944	NGC3673	95.9	8.72	86	1940	3		Bar,IRAS	0.006471143447	SB
171.44075	-48.1416944	ESO216-008	38.6	10.37	80	5570	3		Bar,IRAS	0.0185795201	SB
172.1009167	33.6276944	2MFGC8975	17.4	11.67	61	10201	3			0.03402687335	SB
172.6865	-15.2884167	MCG-02-29-39	31.4	10.6	68	6570	3	1	Bar,ring,IRAS	0.02191516105	SB
172.710375	54.3944722	MCG+09-19-099	15.3	11.87	64	5700	2	1	IRAS	0.01901315343	SAB
172.9907917	-2.9216944	MCG+00-30-003	21.4	11.59	79	1565	2		IRAS	0.00522027809	SAB
173.3158333	24.4470278	NGC3728	21	10.54	66	6976	2			0.02326943128	SAB
173.5972083	-2.52925	CGCG012-025	19.2	11.53	79	11592	3		Bar,ring	0.03866674992	SB
174.064	-70.8074722	ESO063-016	15.5	11.73	90	7704	3		IRAS	0.02569777789	SB
174.6402917	25.3981111	PGC1735060	16.7	11.8	66	7602	3			0.02535754252	SB
174.7957917	39.3336944	UGC06613	22.7	11.27	64	7129	3		Bar,IRAS,Vc	0.02377978435	SB
174.8934167	-21.9984722	ESO571-014	18.5	11.47	66	11523	3	1		0.03843659069	SB
175.1353333	35.6076944	PGC3774965	15.3	11.72	62	13763	2			0.04590842642	SAB
175.2000417	-69.1287222	2MFGC09153	19.9	11.19	106	7491	2			0.02498728637	SAB
175.2448333	-22.4772222	ESO571-015	31.5	11.07	113	7087	3		IRAS	0.02363968743	SB
176.37625	-43.5738056	ESO266-023	37.4	11.14	76	10390	3	1	Bar,ring,AM1143-431	0.03465730949	SB
176.6509583	-41.3753056	ESO320-021	18.6	11.54	83	7025	3		IRAS	0.02343287769	SB
176.7834583	16.2488056	UGC06759	16.8	11.8	76	20679	3			0.06897771925	SB
176.9320417	1.8261944	UGC06769	18.1	11.33	110	8539	3		Bar,ring,NLAGN,KIG499	0.02848303809	SB
177.00075	4.4881111	UGC06771	36.1	10.2	62	5965	2		Bar,ring,pec,KIG500	0.01989709828	SAB
177.014	30.3593056	NGC3891	29.6	9.89	85	6287	3	1		0.02097117467	SB
177.6394583	77.8328056	UGC06798	27.3	10.69	66	7618	2		IRAS	0.02541091277	SAB
178.424	46.2118333	CGCG243-024	15.2	11.84	71	7385	3		Bar,ring,MRK42	0.02463370843	SB
179.215	8.7143889	2MFGC9385	17.7	11.88	68	10488	3		IRAS,Vc	0.0349842023	SB
179.6146667	10.0213611	NGC4012	34.4	10.55	87	4182	3			0.01394965046	SB
180.7247917	-16.3735833	NGC4050	84.2	8.86	97	1762	3		Bar,ring,IRAS	0.005877399357	SB
180.7982083	19.7287222	NGC4053	29.7	10.05	66	7177	2			0.02393989511	SAB
180.928125	-10.3179722	PGC979714	18.3	11.68	77	14541	3	2		0.04850355508	SB
181.4837917	77.5050556	UGC07086	48.2	10.38	84	2009	3		IRAS	0.006701302673	SB
181.595	-44.4484444	ESO267-016	22.6	10.87	75	3108	2		Pec,IRAS	0.01036717208	SAB
182.221625	-9.0364444	NGC4129	47.9	9.7	150	1177	2		Bar,IRAS	0.0039260494	SAB
182.6562917	16.0329167	NGC4152	34.2	9.75	66	2167	3		Bar,HII,MRK759,IRAS	0.007228333943	SB
183.0770417	-50.9591667	2MFGC09607	23.9	11.47	86	12684	3			0.04230926983	SB
183.1531667	-9.1585833	NGC4176	17.8	11.94	70	5614	3	1		0.0187262883	SB
183.7055417	33.01975	MCG+06-27-037	16.3	11.65	62	15831	3			0.05280653191	SB
183.7829583	-30.7664444	ESO441-022	49	9.84	77	6481	3		Bar	0.02161828901	SB
184.508625	-20.8532222	ESO573-007	22.1	11.17	108	9699	3			0.03235238159	SB
184.5841667	-70.3578333	2MFGC9692	16.3	11.99	71	12717	3			0.04241934599	SB
184.9257917	-12.2255278	NGC4263	31.1	10.2	65	4176	3	1	Bar,IRAS	0.01392963662	SB
185.4543333	-24.1682222	ESO506-004	54.4	9.25	100	4022	2	1	Bar,ring,LINER	0.01341594791	SAB
185.599625	-21.1942778	ESO573-016	24.8	11.23	71	6068	3		Bar,ring	0.0202406693	SB
185.9748333	-3.4428889	NGC4348	65.6	8.99	123	2012	3		Pec,KIG527,IRAS	0.006711309595	SB
186.8356667	-17.9101944	ESO573-024	17.2	11.74	62	8131	2	3		0.02712209658	SAB
187.0675417	-35.9784444	MCG-06-27-031	19	10.77	66	8415	3	1	Bar,ring,HII,IRAS	0.02806941861	SB
187.337875	-23.1666111	NGC4462	72	8.57	111	1792	2	1	Bar,ring,IRAS	0.005977468586	SAB
187.449875	-54.3635278	ESO172-003	25.7	10.6	75	5976	3	1	IRAS	0.01993379033	SB
187.6135833	18.8098056	IC3434	16.6	11.82	64	14486	3			0.04832009483	SB
188.4125417	-21.6621389	ESO574-008	27.8	10.65	82	6891	2		Pec	0.0229859018	SAB
188.96225	-13.0899444	MCG-02-32-017	27.2	11.05	96	4375	3	1	IRAS	0.01459342916	SB
189.0005417	54.2208333	NGC4566	22.7	10.39	97	5351	3		KIG539,Vc	0.01784901473	SB
189.3646667	-52.2660556	PGC446467	25.6	10.67	65	15622	3	1		0.05210938295	SB
189.7777083	-59.5978056	2MFGC09958	28.1	10.7	63	5174	2			0.01725860629	SAB
190.2745	50.3934444	NGC4617	50.2	9.91	84	4654	3		KIG545,IRAS	0.01552407299	SB
190.3337917	30.1218056	CGCG159-056	19.4	11.26	76	8184	2		Bar,ring,KIG544	0.02729888555	SAB
190.8324167	58.9648889	NGC4652	20.4	11.27	130	12900	3			0.04302976828	SB
191.0611667	-16.3094167	2MFGC10032	30.6	10.9	60	12686	2	1		0.04231594112	SAB
191.1092083	37.1213056	NGC4662	46.1	10.17	88	6995	2		Bar,KIG550,Vc	0.02333280846	SAB
191.2214167	18.7550556	IC3721	24	10.41	74	6611	2		IRAS	0.02205192233	SAB
191.5477083	48.6675278	MCG+08-23-090	18.3	11.5	65	9248	3		Vc	0.03084800752	SB
191.602875	-29.7231389	ESO442-021	22.8	11.22	64	9079	3		Bar	0.0302842842	SB
192.3430833	9.8177222	CGCG071-050	17.4	11.75	72	13553	3		KIG552,IRAS	0.04520794182	SB
192.8730417	31.8144722	2MFGC10140	18.7	11.68	67	7370	3	1	IRAS	0.02458367382	SB
193.9759583	63.6118333	UGC08059	39.2	10.27	96	2762	3	2	IRAS	0.009213040309	SB
194.6324167	8.2175556	CGCG043-086	17.9	11.32	65	8321	2	1		0.02775586836	SAB
194.7834167	-10.9141111	PGC170223	24.4	10.89	63	6400	3			0.02134810209	SB
194.947125	21.8130556	IC0841	17.7	10.86	67	7156	3		Bar,IRAS	0.02386984665	SB
195.5761667	32.8907778	UGC08145	33.4	10.51	85	7579	2		Bar	0.02528082278	SAB
196.5764167	10.3768333	UGC08192	15.7	11.5	69	9668	3	1	Ring,pec	0.03224897672	SB
197.6145	18.4381111	UGC08248	28.3	10.53	74	3707	3	1	IRAS	0.01236522101	SB
197.673375	20.53675	IC0856	23.9	11.1	78	4049	3	1	Bar,IRAS	0.01350601021	SB
198.0792083	70.6493333	NGC5034	17.9	11.16	71	8691	3		IRAS	0.02899005551	SB
198.1864583	31.8093056	NGC5025	37.5	10.71	64	6343	3		IRAS	0.02115797056	SB
198.4387083	24.9823889	CGCG130-021	17.8	11.37	81	7253	3		Bar,ring,IRAS	0.02419340382	SB
199.071375	25.4066944	IC4215	27.3	10.58	118	3891	2		IRAS	0.01297897894	SAB
199.3175833	6.0374722	NGC5060	31	10.52	68	6238	3		Bar,IRAS	0.02080772826	SB
199.4383333	27.56975	UGC08359	19.6	11.06	78	6995	2		IRAS	0.02333280846	SAB
199.7842917	28.5067778	NGC5081	45.6	10.36	64	6649	3		Ring,KIG581,Vc	0.02217867669	SB
200.360375	-8.1911667	PGC1006959	17.6	11.76	120	14414	3			0.04807992868	SB
201.6182083	-53.9111667	PGC166303	22.9	11.22	63	5183	2		Bar,ring	0.01728862705	SAB
201.9405	54.7990833	UGC08462	30	10.63	74	9916	2			0.03307621568	SAB
202.4852083	50.8838056	UGC08495	16	11.99	63	7621	3		Ring,KIG587	0.0254209197	SB
202.6400833	-6.0923056	MCG-01-34-017	15.2	11.07	85	8817	2			0.02941034627	SAB
202.6605417	18.1345	NGC5190	22.8	10.52	64	4129	3		Bar,IRAS	0.01377286149	SB
203.332	-53.3547222	ESO174-001	48	9.8	89	1382	2		Bar,pec,IRAS	0.004609855796	SAB
203.519	-17.6286667	PGC159265	16.1	11.59	62	14548	2	3		0.04852690457	SAB
203.6635417	4.1299167	NGC5213	20.3	11.5	63	6871	3		Vc	0.02291918898	SB
203.9510417	2.9987778	NGC5231	20.7	10.37	63	6523	2		Bar,IRAS,Vc	0.02175838593	SAB
203.9844167	-14.3466111	PGC925746	15.7	11.97	75	6573	3	1	Bar,ring,IRAS	0.02192516798	SB
204.0050417	49.9606944	IC0902	34.8	10.5	83	1618	3		IRAS	0.00539706706	SB
204.1695833	20.2	UGC08598	27.9	10.89	115	4909	3		KIG593	0.01637466143	SB
204.396	-21.2162778	PGC170278	15.8	11.65	65	15678	2	1		0.05229617885	SAB
205.0378333	36.861	NGC5265	19.9	11.14	63	5742	3		IRAS	0.01915325035	SB
207.781	24.0181667	CGCG132-024	18.6	11.49	69	8467	2			0.02824287194	SAB
208.2355417	2.8143333	NGC5335	37.5	10.28	64	4650	3		Bar,ring	0.01551073043	SB
208.2841667	-16.9603056	MCG-03-35-020	31	10.57	86	6284	3	1		0.02096116774	SB
208.324375	33.49075	NGC5347	41.3	9.82	60	2384	2		Bar,ring,Sy2,IRAS,Vc	0.00795216803	SAB
209.23325	29.1642778	NGC5375	56.2	9.44	102	2385	2		Bar,ring,KIG605,IRAS,Vc	0.00795550367	SAB
209.3143333	24.2575	UGC08873	22.8	11.21	69	8891	3	1		0.0296571837	SB
211.3355833	-84.27275	IC4333	38.9	10.44	165	2716	3		IRAS	0.009059600826	SB
211.7852083	-4.2380278	PGC184399	17.6	11.51	62	8189	3	1		0.02731556376	SB
212.15	-53.3528611	ESO175-002	43.5	9.73	60	3914	3			0.01305569869	SB
213.149	47.2531667	MCG+08-26-014	16.3	11.67	62	8417	2	2	Ring	0.02807608989	SAB
213.29125	-65.339	ESO097-013	259.5	5.04	156	434	2		IRAS	0.001447668173	SAB
213.5249583	-18.3707778	ESO579-004	18	11.72	65	15076	3	3		0.05028812299	SB
213.7098333	15.1466667	NGC5522	39.9	9.98	67	4575	2		IRAS	0.01526055736	SAB
214.4177083	-7.4175	NGC5534	35.7	9.74	72	2623	2	2	Bar,pec,HII,MRK1379,VV615,IRAS	0.008749386217	SAB
215.3045417	-46.2978889	IC4402	90.7	8.25	93	1653	3		IRAS	0.005513814494	SB
215.3047083	29.9935278	IC4408	20.9	10.65	68	9090	3	1	IRAS	0.03032097625	SB
215.4756667	7.8824722	CGCG047-026	15.3	11.44	71	7545	3	1	Bar,ring	0.02516741098	SB
215.890375	-39.6125278	PGC596161	15.7	11.77	63	11560	3	1	HII	0.0385600094	SB
216.209	-38.80325	ESO326-020	31	10.68	94	4408	3		Bar	0.01470350532	SB
216.5511667	-11.9045278	MCG-02-37-004	20.2	11.38	93	12422	3	1	Bar,HII,Sy2,IRAS	0.04143533191	SB
216.676	-49.6724444	ESO222-005	44.3	10.05	66	3998	2	1	Bar,ring	0.01333589253	SAB
217.9954583	-55.4666667	ESO175-009	37.2	9.05	98	3105	3	1	Bar,IRAS	0.01035716516	SB
218.3183333	41.6503333	IC1028	26.5	10.58	81	5327	3		Vc	0.01776895935	SB
218.9285833	8.3005	NGC5681	21	11.19	68	7937	3		IRAS	0.02647498224	SB
219.311	38.4541667	NGC5698	27.6	10.53	64	3679	3		Bar,ring,HII,IRAS	0.01227182306	SB
219.888	62.0029722	IC1049	26.3	11.04	68	6720	3	1	Bar,ring,KIG641	0.0224155072	SB
220.8802083	49.3931389	CGCG248-019	18.1	11.26	62	9032	3		IZw94,Vc	0.03012750908	SB
220.88175	48.1995278	MCG+08-27-021	16.1	11.86	65	11096	3	1		0.037012272	SB
221.6395	-38.7014444	ESO327-017	19.3	11.16	74	8026	2	1		0.02677185428	SAB
221.721875	-27.7150278	ESO447-036	42.1	9.8	92	4817	3		AM1443-273	0.01606778247	SB
222.1115833	34.9981111	UGC09537	49.9	10.1	130	8822	3		IRAS,Vc	0.02942702448	SB
